00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.324579439,0.41,0.42172043,1406.755157,0
2,100,0.109065421,0.17,0.217311828,1412.823472,0
3,100,0.119065421,0.19,0.217311828,1712.92983,0
4,100,0.204579439,0.28,0.28172043,1511.781699,0
5,100,0.144579439,0.22,0.26172043,1713.203484,0
6,100,0.109065421,0.18,0.207311828,1512.32018,0
7,100,0.324579439,0.41,0.40172043,2409.710225,0
8,100,0.089065421,0.18,0.19172043,1513.346141,0
9,100,0.129065421,0.2,0.227311828,1613.851362,0
10,100,0.11,0.17,0.210967742,1213.208566,0
11,100,0.144579439,0.22,0.25172043,1409.494507,0
12,100,0.119065421,0.18,0.220967742,2013.068355,0
13,100,0.149065421,0.22,0.25172043,1912.853096,0
14,100,0.139065421,0.22,0.250967742,1412.434649,0
15,100,0.204579439,0.29,0.32172043,2213.082677,0
16,100,0.109065421,0.16,0.177311828,1512.559865,0
17,100,0.154579439,0.27,0.30172043,1912.847349,0
18,100,0.144579439,0.24,0.260967742,1410.904435,0
19,100,0.119065421,0.19,0.230967742,1613.475906,0
20,100,0.154579439,0.22,0.250967742,1309.840378,0
21,100,0.099065421,0.15,0.187311828,1413.205397,0
22,100,0.174579439,0.26,0.300967742,2013.206001,0
23,100,0.149065421,0.22,0.26172043,2113.402042,0
24,100,0.159065421,0.19,0.23172043,2013.319689,0
25,100,0.304579439,0.42,0.42172043,2010.342183,0
26,100,0.244579439,0.35,0.38172043,2413.357904,0
27,100,0.099065421,0.17,0.197311828,1413.376998,0
28,100,0.154579439,0.21,0.270967742,1913.862694,0
29,100,0.139065421,0.16,0.197311828,1312.481049,0
30,100,0.174579439,0.23,0.22172043,1211.192517,0
31,100,0.134579439,0.26,0.27172043,1913.350698,0
32,100,0.099065421,0.19,0.217311828,1812.731427,0
33,100,0.109065421,0.17,0.227311828,1713.990685,0
34,100,0.119065421,0.2,0.237311828,1713.709465,0
35,100,0.119065421,0.18,0.23172043,2013.256922,0
36,100,0.194579439,0.29,0.320967742,1911.977485,0
37,100,0.154579439,0.27,0.310967742,2112.912569,0
38,100,0.244579439,0.37,0.40172043,2513.337834,0
39,100,0.169065421,0.24,0.280967742,2213.53167,0
40,100,0.154579439,0.25,0.280967742,1813.540379,0
41,100,0.119065421,0.16,0.187311828,1113.746852,0
42,100,0.159065421,0.25,0.280967742,1913.598891,0
43,100,0.314579439,0.39,0.41172043,1811.208908,0
44,100,0.164579439,0.23,0.280967742,2013.265655,0
45,100,0.139065421,0.19,0.210967742,1712.912961,0
46,100,0.234579439,0.29,0.320967742,1311.658798,0
47,100,0.149065421,0.17,0.197311828,1413.679231,0
48,100,0.149065421,0.22,0.25172043,1912.815314,0
49,100,0.119065421,0.13,0.137311828,1112.28962,0
50,100,0.169065421,0.26,0.30172043,2313.266211,0
,,0.16031028,0.2338,0.263845161,,
