00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.139065421,0.22,0.295483871,1406.755157,0
2,100,0.111869159,0.18,0.229569892,1412.823472,0
3,100,0.119065421,0.2,0.239569892,1712.92983,0
4,100,0.139065421,0.19,0.205483871,1511.781699,0
5,100,0.129065421,0.18,0.229569892,1713.203484,0
6,100,0.109065421,0.19,0.219569892,1512.32018,0
7,100,0.159065421,0.23,0.229569892,2409.710225,0
8,100,0.101869159,0.19,0.219569892,1513.346141,0
9,100,0.129065421,0.21,0.238817204,1613.851362,0
10,100,0.121869159,0.17,0.218817204,1213.208566,0
11,100,0.129065421,0.16,0.199569892,1409.494507,0
12,100,0.119065421,0.18,0.238817204,2013.068355,0
13,100,0.149065421,0.19,0.229569892,1912.853096,0
14,100,0.139065421,0.19,0.229569892,1412.434649,0
15,100,0.159065421,0.19,0.229569892,2213.082677,0
16,100,0.109065421,0.17,0.208817204,1512.559865,0
17,100,0.139065421,0.19,0.265483871,1912.847349,0
18,100,0.129065421,0.19,0.228817204,1410.904435,0
19,100,0.119065421,0.19,0.238817204,1613.475906,0
20,100,0.109065421,0.15,0.198817204,1309.840378,0
21,100,0.099065421,0.16,0.21655914,1413.205397,0
22,100,0.169065421,0.21,0.258817204,2013.206001,0
23,100,0.149065421,0.22,0.269569892,2113.402042,0
24,100,0.159065421,0.19,0.239569892,2013.319689,0
25,100,0.179065421,0.22,0.335483871,2010.342183,0
26,100,0.169065421,0.23,0.275483871,2413.357904,0
27,100,0.121869159,0.18,0.228817204,1413.376998,0
28,100,0.149065421,0.19,0.258817204,1913.862694,0
29,100,0.139065421,0.17,0.218817204,1312.481049,0
30,100,0.119065421,0.15,0.175483871,1211.192517,0
31,100,0.109065421,0.2,0.235483871,1913.350698,0
32,100,0.099065421,0.2,0.239569892,1812.731427,0
33,100,0.109065421,0.18,0.258817204,1713.990685,0
34,100,0.119065421,0.21,0.258817204,1713.709465,0
35,100,0.119065421,0.18,0.239569892,2013.256922,0
36,100,0.149065421,0.2,0.238817204,1911.977485,0
37,100,0.149065421,0.21,0.258817204,2112.912569,0
38,100,0.199065421,0.24,0.279569892,2513.337834,0
39,100,0.169065421,0.2,0.248817204,2213.53167,0
40,100,0.139065421,0.21,0.248817204,1813.540379,0
41,100,0.136448598,0.17,0.218817204,1113.746852,0
42,100,0.159065421,0.19,0.228817204,1913.598891,0
43,100,0.179065421,0.24,0.315483871,1811.208908,0
44,100,0.116448598,0.17,0.228817204,2013.265655,0
45,100,0.139065421,0.18,0.218817204,1712.912961,0
46,100,0.149065421,0.19,0.235483871,1311.658798,0
47,100,0.149065421,0.18,0.238817204,1413.679231,0
48,100,0.149065421,0.21,0.249569892,1912.815314,0
49,100,0.119065421,0.14,0.178817204,1112.28962,0
50,100,0.169065421,0.23,0.279569892,2313.266211,0
,,0.136785047,0.1922,0.239427957,,
