00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.022803738,0.04,0.046989247,3107.961853,33
2,100,0.034579439,0.05,0.05172043,3208.744487,26
3,100,0.044579439,0.09,0.086236559,1805.906449,32
4,100,0.030654206,0.03,0.066989247,2707.208338,23
5,100,0.02953271,0.04,0.056989247,3207.473626,36
6,100,0.02,0.04,0.036989247,3207.562183,35
7,100,0.024579439,0.04,0.036989247,3409.01226,33
8,100,0.042803738,0.04,0.036989247,2407.94381,33
9,100,0.054579439,0.08,0.076236559,2806.149404,28
10,100,0.024579439,0.05,0.056989247,2708.518286,27
11,100,0.042803738,0.05,0.046236559,1906.74398,20
12,100,0.074579439,0.09,0.086236559,2608.908168,33
13,100,0.035420561,0.03,0.056989247,3007.998757,31
14,100,0.094579439,0.12,0.13172043,2509.774986,30
15,100,0.044579439,0.1,0.096236559,2608.629867,33
16,100,0.02953271,0.07,0.066236559,2908.432692,35
17,100,0.022803738,0.06,0.056236559,2908.106915,30
18,100,0.049065421,0.04,0.04827957,3205.640139,24
19,100,0.054579439,0.09,0.09172043,1408.190899,20
20,100,0.034579439,0.08,0.076236559,2206.274406,30
21,100,0.059065421,0.06,0.079032258,2109.368237,14
22,100,0.039065421,0.02,0.066989247,3006.618375,28
23,100,0.034579439,0.06,0.056989247,1907.599243,23
24,100,0.025420561,0.04,0.036989247,2306.307746,25
25,100,0.029065421,0.04,0.036989247,3306.54072,42
26,100,0.024579439,0.07,0.066236559,2206.667728,25
27,100,0.049065421,0.05,0.046989247,1707.249992,22
28,100,0.04,0.03,0.056989247,2809.049654,26
29,100,0.039065421,0.05,0.046989247,2305.586103,32
30,100,0.054579439,0.08,0.076236559,2605.770131,28
31,100,0.055420561,0.04,0.059032258,3106.923385,29
32,100,0.019065421,0.04,0.046989247,3407.165039,34
33,100,0.016074766,0.09,0.086236559,2108.30118,31
34,100,0.044579439,0.06,0.05172043,3507.300589,32
35,100,0.034579439,0.07,0.066236559,2810.266897,26
36,100,0.014579439,0.04,0.036989247,2505.854133,21
37,100,0.054579439,0.08,0.09172043,2508.109164,35
38,100,0.040654206,0.04,0.036236559,2406.751524,19
39,100,0.054579439,0.1,0.096236559,2408.249872,34
40,100,0.022803738,0.05,0.046989247,2006.895149,21
41,100,0.045420561,0.05,0.069032258,2905.884069,25
42,100,0.032803738,0.03,0.046989247,3208.19344,31
43,100,0.019065421,0.04,0.036989247,3306.104734,30
44,100,0.01,0.03,0.046989247,2906.596381,28
45,100,0.022803738,0.06,0.056236559,2907.95293,37
46,100,0.024579439,0.07,0.09172043,1607.259381,31
47,100,0.041962617,0.04,0.056989247,2805.617893,33
48,100,0.032803738,0.03,0.046989247,2907.882558,28
49,100,0.03953271,0.03,0.036989247,3007.03018,30
50,100,0.040654206,0.05,0.056989247,1905.992733,20
,,0.03744486,0.0554,0.06087957,,
