percentage,low-Degree=0,medium-Degree=0,high-Degree=0,low-Degree=1,medium-Degree=1,high-Degree=1,low-Degree=2,medium-Degree=2,high-Degree=2,low-Degree=3,medium-Degree=3,high-Degree=3,low-Degree=4,medium-Degree=4,high-Degree=4,low-Degree=5,medium-Degree=5,high-Degree=5,low-Degree=6,medium-Degree=6,high-Degree=6,low-Degree=7,medium-Degree=7,high-Degree=7,low-Degree=8,medium-Degree=8,high-Degree=8,low-Degree=9,medium-Degree=9,high-Degree=9,low-Degree=10,medium-Degree=10,high-Degree=10,low-Degree=11,medium-Degree=11,high-Degree=11,low-Degree=12,medium-Degree=12,high-Degree=12,low-Degree=13,medium-Degree=13,high-Degree=13,low-Degree=14,medium-Degree=14,high-Degree=14,low-Degree=15,medium-Degree=15,high-Degree=15
0.1,0.13392857142857142,0.13709677419354838,0.14035087719298245,0.0,0.0,0.00819672131147541,0.14814814814814814,0.16666666666666666,0.1864406779661017,0.44642857142857145,0.47413793103448276,0.5,0.09090909090909091,0.1111111111111111,0.12962962962962962,0.009708737864077669,0.02654867256637168,0.047619047619047616,0.00819672131147541,0.009708737864077669,0.024793388429752067,0.00847457627118644,0.015748031496062992,0.0196078431372549,0.008547008547008548,0.01639344262295082,0.024193548387096774,0.0,0.009345794392523364,0.018691588785046728,0.0,0.0,0.009523809523809525,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.14563106796116504,0.14953271028037382,0.15254237288135594,0.0,0.0,0.008333333333333333,0.1553398058252427,0.17391304347826086,0.19327731092436976,0.43333333333333335,0.4608695652173913,0.48598130841121495,0.08695652173913043,0.10679611650485436,0.125,0.009615384615384616,0.02631578947368421,0.04716981132075472,0.00819672131147541,0.009708737864077669,0.02459016393442623,0.00847457627118644,0.016,0.023809523809523808,0.00847457627118644,0.016260162601626018,0.0234375,0.0,0.009174311926605505,0.01818181818181818,0.0,0.0,0.009259259259259259,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.15833333333333333,0.1619047619047619,0.16521739130434782,0.0,0.0,0.00847457627118644,0.1619047619047619,0.18032786885245902,0.2,0.42063492063492064,0.4482758620689655,0.4727272727272727,0.08411214953271028,0.102803738317757,0.12,0.009523809523809525,0.02586206896551724,0.046296296296296294,0.008264462809917356,0.015748031496062992,0.024390243902439025,0.008403361344537815,0.016,0.024,0.008333333333333333,0.016,0.01904761904761905,0.0,0.009009009009009009,0.017543859649122806,0.0,0.0,0.00909090909090909,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.1694915254237288,0.17355371900826447,0.1774193548387097,0.0,0.0,0.008547008547008548,0.168,0.1864406779661017,0.205607476635514,0.4090909090909091,0.43548387096774194,0.4608695652173913,0.08108108108108109,0.09923664122137404,0.11570247933884298,0.009345794392523364,0.02564102564102564,0.046296296296296294,0.008264462809917356,0.015748031496062992,0.024390243902439025,0.008403361344537815,0.016129032258064516,0.023809523809523808,0.008264462809917356,0.015503875968992248,0.018691588785046728,0.0,0.008771929824561403,0.017094017094017096,0.0,0.0,0.008849557522123894,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.18181818181818182,0.18548387096774194,0.1891891891891892,0.0,0.0,0.008620689655172414,0.17355371900826447,0.1926605504587156,0.211864406779661,0.39814814814814814,0.42342342342342343,0.4485981308411215,0.078125,0.09482758620689655,0.1111111111111111,0.009259259259259259,0.025423728813559324,0.045454545454545456,0.008264462809917356,0.015873015873015872,0.02459016393442623,0.008333333333333333,0.016,0.023809523809523808,0.008064516129032258,0.009433962264150943,0.01834862385321101,0.0,0.008547008547008548,0.01652892561983471,0.0,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.19298245614035087,0.19672131147540983,0.20168067226890757,0.0,0.0,0.008695652173913044,0.17757009345794392,0.19696969696969696,0.21705426356589147,0.38596491228070173,0.4117647058823529,0.43636363636363634,0.0743801652892562,0.09166666666666666,0.1076923076923077,0.009174311926605505,0.025,0.04504504504504504,0.008264462809917356,0.016,0.024390243902439025,0.008264462809917356,0.015873015873015872,0.023809523809523808,0.007936507936507936,0.009259259259259259,0.018018018018018018,0.0,0.008333333333333333,0.015873015873015872,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.2047244094488189,0.20869565217391303,0.21296296296296297,0.0,0.0,0.008695652173913044,0.18253968253968253,0.20175438596491227,0.2222222222222222,0.375,0.4,0.4251968503937008,0.07142857142857142,0.08849557522123894,0.104,0.00909090909090909,0.024793388429752067,0.044642857142857144,0.008264462809917356,0.016,0.024193548387096774,0.008264462809917356,0.015748031496062992,0.023622047244094488,0.007751937984496124,0.00909090909090909,0.017857142857142856,0.0,0.008064516129032258,0.014705882352941176,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.21551724137931033,0.22018348623853212,0.22413793103448276,0.0,0.0,0.008771929824561403,0.1864406779661017,0.2066115702479339,0.2265625,0.36507936507936506,0.3897058823529412,0.4144144144144144,0.06896551724137931,0.0847457627118644,0.1,0.00909090909090909,0.02459016393442623,0.043859649122807015,0.00819672131147541,0.016,0.024193548387096774,0.008130081300813009,0.015748031496062992,0.023255813953488372,0.007633587786259542,0.008928571428571428,0.017543859649122806,0.0,0.007874015748031496,0.00909090909090909,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.22608695652173913,0.23076923076923078,0.23529411764705882,0.0,0.0,0.008771929824561403,0.19083969465648856,0.2109375,0.23076923076923078,0.3548387096774194,0.3793103448275862,0.40336134453781514,0.06666666666666667,0.08148148148148149,0.0967741935483871,0.00909090909090909,0.02459016393442623,0.04310344827586207,0.00819672131147541,0.016,0.024193548387096774,0.008064516129032258,0.015625,0.023076923076923078,0.007518796992481203,0.008695652173913044,0.017241379310344827,0.0,0.007633587786259542,0.008928571428571428,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.23703703703703705,0.24193548387096775,0.24615384615384617,0.0,0.007462686567164179,0.008771929824561403,0.19469026548672566,0.21428571428571427,0.23478260869565218,0.3448275862068966,0.36936936936936937,0.39316239316239315,0.06349206349206349,0.07894736842105263,0.09375,0.009009009009009009,0.024390243902439025,0.042735042735042736,0.008130081300813009,0.015873015873015872,0.024,0.008,0.015267175572519083,0.022556390977443608,0.0072992700729927005,0.008547008547008548,0.01680672268907563,0.0,0.007462686567164179,0.008771929824561403,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
