00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.059065421,0.15,0.185483871,1106.970108,0
2,100,0.076448598,0.14,0.165483871,1310.070838,0
3,100,0.058130841,0.08,0.096236559,1106.257545,0
4,100,0.086448598,0.12,0.146236559,1209.913177,0
5,100,0.046448598,0.09,0.105483871,1106.681796,12
6,100,0.096448598,0.13,0.155483871,1106.993426,0
7,100,0.049065421,0.13,0.165483871,1208.166079,0
8,100,0.079065421,0.14,0.185483871,1206.754475,1
9,100,0.086448598,0.13,0.155483871,1210.223778,0
10,100,0.066448598,0.11,0.128817204,1411.352077,0
11,100,0.089065421,0.15,0.205483871,1411.919001,0
12,100,0.099065421,0.14,0.175483871,1210.249692,0
13,100,0.086448598,0.14,0.165483871,1511.529902,0
14,100,0.029065421,0.08,0.095483871,706.5900654,1
15,100,0.069065421,0.12,0.145483871,1510.915153,1
16,100,0.071869159,0.11,0.145483871,1109.398242,0
17,100,0.041869159,0.1,0.125483871,1010.300363,0
18,100,0.031869159,0.11,0.128817204,1210.416302,0
19,100,0.086448598,0.13,0.138817204,1306.255454,0
20,100,0.079065421,0.14,0.175483871,1310.945861,0
21,100,0.089065421,0.14,0.175483871,1510.65712,1
22,100,0.056448598,0.09,0.095483871,1405.521496,10
23,100,0.156448598,0.19,0.235483871,1512.496287,0
24,100,0.076448598,0.12,0.145483871,1010.093711,0
25,100,0.096448598,0.14,0.16655914,1411.388235,0
26,100,0.119065421,0.17,0.205483871,1206.569852,0
27,100,0.119065421,0.15,0.175483871,1409.945218,2
28,100,0.066448598,0.11,0.125483871,1806.803461,3
29,100,0.101869159,0.14,0.185483871,1211.574987,1
30,100,0.081869159,0.13,0.165483871,1210.106227,0
31,100,0.106448598,0.15,0.195483871,1310.299026,0
32,100,0.059065421,0.12,0.148817204,1309.785136,1
33,100,0.069065421,0.11,0.135483871,1506.830231,1
34,100,0.106448598,0.15,0.175483871,1507.315842,3
35,100,0.056448598,0.12,0.128817204,1410.047538,0
36,100,0.089065421,0.14,0.165483871,1311.960995,0
37,100,0.031869159,0.07,0.076236559,1010.933498,0
38,100,0.086448598,0.12,0.135483871,1407.453455,13
39,100,0.069065421,0.11,0.115483871,1304.820171,7
40,100,0.059065421,0.13,0.155483871,1311.770653,1
41,100,0.071869159,0.14,0.175483871,1210.002914,0
42,100,0.046448598,0.1,0.115483871,1410.737726,3
43,100,0.056448598,0.12,0.128817204,1606.553782,0
44,100,0.079065421,0.14,0.165483871,1510.79965,0
45,100,0.126448598,0.18,0.205483871,1607.904752,1
46,100,0.071869159,0.12,0.145483871,1110.772821,1
47,100,0.139065421,0.17,0.205483871,1611.003797,1
48,100,0.051869159,0.1,0.125483871,1210.698336,0
49,100,0.086448598,0.13,0.158817204,1411.652489,0
50,100,0.061869159,0.12,0.145483871,1210.228641,1
,,0.077508411,0.1272,0.153417204,,1.3
