00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.234579439,0.28,0.310967742,1512.708459,0
2,100,0.194579439,0.26,0.270967742,1307.447478,0
3,100,0.104579439,0.17,0.180967742,1312.145238,0
4,100,0.164579439,0.21,0.210967742,1209.913177,0
5,100,0.154579439,0.21,0.260967742,1106.681796,12
6,100,0.174579439,0.22,0.220967742,1106.993426,0
7,100,0.104579439,0.2,0.210967742,1208.166079,0
8,100,0.164579439,0.24,0.260967742,1206.754475,1
9,100,0.164579439,0.21,0.220967742,1210.223778,0
10,100,0.054579439,0.11,0.120967742,1411.352077,0
11,100,0.174579439,0.25,0.280967742,1411.919001,0
12,100,0.134579439,0.19,0.190967742,1210.249692,0
13,100,0.164579439,0.23,0.24172043,1511.529902,0
14,100,0.034579439,0.11,0.105483871,706.5900654,1
15,100,0.134579439,0.2,0.20172043,1510.915153,1
16,100,0.084579439,0.14,0.160967742,1109.398242,0
17,100,0.064579439,0.14,0.140967742,1010.300363,0
18,100,0.044579439,0.14,0.150967742,1210.416302,0
19,100,0.164579439,0.22,0.220967742,1306.255454,0
20,100,0.134579439,0.21,0.230967742,1310.945861,0
21,100,0.184579439,0.25,0.260967742,1510.65712,1
22,100,0.164579439,0.21,0.25172043,1405.521496,10
23,100,0.214579439,0.26,0.280967742,1512.496287,0
24,100,0.134579439,0.19,0.200967742,1010.093711,0
25,100,0.114579439,0.17,0.180967742,1411.388235,0
26,100,0.174579439,0.24,0.250967742,1206.569852,0
27,100,0.214579439,0.27,0.270967742,1409.945218,2
28,100,0.194579439,0.25,0.260967742,1806.803461,3
29,100,0.134579439,0.19,0.210967742,1211.574987,1
30,100,0.1,0.16,0.180967742,1210.106227,0
31,100,0.164579439,0.22,0.250967742,1310.299026,0
32,100,0.074579439,0.15,0.170967742,1309.785136,1
33,100,0.184579439,0.24,0.240967742,1506.830231,1
34,100,0.204579439,0.26,0.270967742,1507.315842,3
35,100,0.124579439,0.2,0.200967742,1410.047538,0
36,100,0.124579439,0.19,0.200967742,1311.960995,0
37,100,0.04,0.09,0.08172043,1010.933498,0
38,100,0.274579439,0.32,0.33172043,1407.453455,13
39,100,0.214579439,0.27,0.28172043,1304.820171,7
40,100,0.094579439,0.18,0.190967742,1311.770653,1
41,100,0.11,0.19,0.200967742,1210.002914,0
42,100,0.124579439,0.19,0.18172043,1410.737726,3
43,100,0.124579439,0.2,0.210967742,1606.553782,0
44,100,0.144579439,0.22,0.230967742,1510.79965,0
45,100,0.274579439,0.32,0.330967742,1607.904752,1
46,100,0.1,0.16,0.160967742,1110.772821,1
47,100,0.244579439,0.29,0.310967742,1611.003797,1
48,100,0.074579439,0.14,0.150967742,1210.698336,0
49,100,0.144579439,0.2,0.220967742,1411.652489,0
50,100,0.08,0.15,0.160967742,1210.228641,1
,,0.144121495,0.2062,0.218563441,,1.3
